Program 0
	Semester 0
		Student No. Sb0	Sb1	Sb2	Sb3	Sb4	Sb5	
		Student 0	51	76	60	26	45	56	
		Student 1	43	79	45	26	53	48	
		Student 2	11	32	88	70	48	10	
		Student 3	43	92	10	91	20	79	
		Student 4	99	83	52	28	32	52	
		Student 5	65	57	17	18	81	70	
		Student 6	93	60	47	48	68	98	
		Student 7	61	82	79	16	24	13	
		Student 8	66	14	87	93	79	42	
		Student 9	67	22	54	65	20	48	
		Student 10	85	95	36	43	73	97	
		Student 11	29	38	76	48	37	35	
		Student 12	27	74	81	72	75	28	
		Student 13	39	75	72	38	66	57	
		Student 14	99	42	68	39	68	51	
		Student 15	23	43	53	91	78	53	
		Student 16	40	84	15	84	77	73	
		Student 17	36	86	19	69	79	91	
		Student 18	17	35	14	73	52	23	
		Student 19	12	57	25	29	41	81	
		Student 20	84	97	69	18	56	32	
		Student 21	13	15	33	20	59	65	
		Student 22	96	76	85	20	55	62	
		Student 23	21	72	69	62	25	39	
		Student 24	21	39	88	18	54	36	
		Student 25	82	65	53	78	74	87	
		Student 26	89	78	79	49	36	41	
		Student 27	55	74	48	85	67	85	
		Student 28	79	25	38	95	87	20	
		Student 29	78	56	47	38	47	92	
		Student 30	80	95	99	66	81	40	
		Student 31	37	63	38	18	43	28	
		Student 32	54	97	91	97	85	83	
		Student 33	53	92	89	79	47	66	
		Student 34	68	21	60	91	60	94	
		Student 35	92	80	79	31	21	41	
		Student 36	83	32	33	51	75	87	
		Student 37	33	64	62	99	66	22	
		Student 38	54	37	16	53	60	65	
		Student 39	59	94	59	16	56	88	
		Student 40	59	74	58	60	42	98	
		Student 41	67	16	94	82	15	79	
		Student 42	52	41	10	14	34	26	
		Student 43	67	48	21	24	77	12	
		Student 44	11	27	45	42	26	20	
		Student 45	90	77	27	93	64	90	
		Student 46	31	68	88	79	55	26	
		Student 47	29	31	24	46	85	96	
		Student 48	57	43	16	67	56	32	
		Student 49	15	38	30	14	70	35	
	Semester 5
		Student No. Sb0	Sb1	Sb2	Sb3	Sb4	Sb5	
		Student 0	49	12	88	29	10	77	
		Student 1	93	47	73	13	34	62	
		Student 2	46	27	51	67	70	96	
		Student 3	43	84	44	81	16	40	
		Student 4	47	89	21	39	27	73	
		Student 5	10	36	39	76	85	37	
		Student 6	24	33	84	63	80	48	
		Student 7	77	12	51	28	84	50	
		Student 8	73	49	20	96	48	74	
		Student 9	87	23	46	48	17	50	
		Student 10	95	36	75	51	73	97	
		Student 11	36	47	89	64	97	48	
		Student 12	50	55	11	27	57	34	
		Student 13	55	76	88	39	24	14	
		Student 14	78	49	96	33	45	68	
		Student 15	28	38	81	95	23	37	
		Student 16	52	82	64	10	75	44	
		Student 17	32	33	60	30	27	81	
		Student 18	71	44	14	60	38	94	
		Student 19	99	48	33	46	53	25	
		Student 20	95	59	61	63	52	11	
		Student 21	10	98	53	31	55	78	
		Student 22	68	33	77	52	19	93	
		Student 23	52	67	49	34	50	50	
		Student 24	32	58	14	31	80	74	
		Student 25	48	45	18	83	18	20	
		Student 26	29	84	68	87	67	74	
		Student 27	74	58	62	86	53	84	
		Student 28	15	25	29	72	79	70	
		Student 29	77	95	92	20	72	98	
		Student 30	94	33	67	76	91	54	
		Student 31	53	96	69	67	59	97	
		Student 32	97	64	46	88	59	44	
		Student 33	54	86	96	69	20	88	
		Student 34	98	16	48	81	60	21	
		Student 35	80	12	74	87	81	64	
		Student 36	46	89	94	90	80	51	
		Student 37	10	90	89	20	53	28	
		Student 38	40	85	45	46	43	40	
		Student 39	74	31	72	10	97	38	
		Student 40	33	70	25	13	87	48	
		Student 41	52	80	56	71	15	63	
		Student 42	25	63	53	62	27	48	
		Student 43	58	63	76	12	29	25	
		Student 44	53	94	39	84	28	84	
		Student 45	65	19	84	70	55	63	
		Student 46	97	74	84	53	86	69	
		Student 47	63	29	78	77	31	78	
		Student 48	30	77	23	64	47	95	
		Student 49	59	12	30	17	94	96	
	Semester 6
		Student No. Sb0	Sb1	Sb2	Sb3	Sb4	Sb5	
		Student 0	74	31	73	58	31	97	
		Student 1	72	68	82	31	22	73	
		Student 2	44	75	77	60	87	40	
		Student 3	24	13	91	76	10	25	
		Student 4	52	25	59	14	60	52	
		Student 5	36	79	72	43	35	52	
		Student 6	73	46	34	51	98	48	
		Student 7	32	78	40	86	89	15	
		Student 8	44	61	41	33	75	34	
		Student 9	69	39	83	57	38	60	
		Student 10	21	84	29	68	58	36	
		Student 11	98	17	63	92	97	28	
		Student 12	97	65	66	34	47	79	
		Student 13	92	58	82	48	58	76	
		Student 14	36	80	38	60	20	24	
		Student 15	99	73	40	83	78	70	
		Student 16	81	93	99	17	70	95	
		Student 17	61	97	30	30	89	25	
		Student 18	45	21	69	10	73	74	
		Student 19	91	19	30	75	24	52	
		Student 20	80	54	12	26	91	51	
		Student 21	10	63	14	20	57	28	
		Student 22	86	11	76	52	95	73	
		Student 23	24	65	72	42	84	22	
		Student 24	81	97	55	83	19	35	
		Student 25	11	54	57	84	33	94	
		Student 26	16	28	88	71	92	70	
		Student 27	86	97	39	38	74	16	
		Student 28	29	54	77	72	50	62	
		Student 29	43	80	48	91	74	76	
		Student 30	29	41	97	66	60	83	
		Student 31	52	65	79	33	37	57	
		Student 32	23	19	64	71	76	75	
		Student 33	27	63	11	61	33	53	
		Student 34	46	16	81	66	80	27	
		Student 35	73	76	17	77	55	30	
		Student 36	92	61	13	64	38	69	
		Student 37	36	48	74	19	13	56	
		Student 38	31	79	35	38	15	92	
		Student 39	44	85	55	43	33	68	
		Student 40	38	97	34	23	83	48	
		Student 41	48	72	49	83	89	91	
		Student 42	47	44	86	33	75	77	
		Student 43	52	70	78	38	67	74	
		Student 44	36	56	85	52	73	69	
		Student 45	68	62	93	17	76	22	
		Student 46	81	15	26	97	42	71	
		Student 47	61	40	32	11	50	52	
		Student 48	31	99	84	40	53	56	
		Student 49	33	65	51	48	99	63	
	Semester 7
		Student No. Sb0	Sb1	Sb2	Sb3	Sb4	Sb5	
		Student 0	18	67	49	96	24	74	
		Student 1	65	13	54	46	19	22	
		Student 2	86	42	47	21	34	80	
		Student 3	62	51	13	45	28	96	
		Student 4	52	23	77	31	65	96	
		Student 5	42	74	16	24	16	10	
		Student 6	84	14	61	27	55	72	
		Student 7	92	43	63	95	28	60	
		Student 8	35	76	16	98	56	85	
		Student 9	59	68	10	57	91	34	
		Student 10	71	67	54	16	33	21	
		Student 11	66	66	83	24	86	59	
		Student 12	45	23	50	88	72	67	
		Student 13	67	23	24	88	34	30	
		Student 14	46	37	62	33	75	89	
		Student 15	28	17	44	80	91	36	
		Student 16	53	13	51	91	60	31	
		Student 17	54	39	86	26	55	31	
		Student 18	94	52	19	99	61	58	
		Student 19	85	10	71	31	67	46	
		Student 20	20	37	26	55	97	96	
		Student 21	45	36	18	44	64	50	
		Student 22	37	11	30	33	98	76	
		Student 23	59	43	24	47	40	32	
		Student 24	49	85	23	94	58	94	
		Student 25	64	18	95	40	24	57	
		Student 26	58	26	16	58	94	57	
		Student 27	75	55	76	12	84	98	
		Student 28	98	29	99	68	59	41	
		Student 29	71	78	60	86	29	42	
		Student 30	78	97	12	56	80	91	
		Student 31	82	97	45	56	90	15	
		Student 32	43	32	65	96	93	26	
		Student 33	62	11	16	76	58	33	
		Student 34	78	58	75	40	77	44	
		Student 35	91	14	15	34	24	70	
		Student 36	64	89	24	93	65	21	
		Student 37	97	82	39	47	14	17	
		Student 38	64	35	87	91	80	75	
		Student 39	31	92	67	90	27	70	
		Student 40	46	64	98	83	58	28	
		Student 41	33	41	55	13	37	12	
		Student 42	15	58	27	68	27	27	
		Student 43	60	21	56	82	58	84	
		Student 44	77	85	10	32	49	40	
		Student 45	59	84	90	66	94	25	
		Student 46	74	46	61	57	37	61	
		Student 47	31	19	55	97	81	31	
		Student 48	99	87	17	90	29	82	
		Student 49	85	22	97	42	32	43	
