Program 0
	Semester 0
		Student No. Sb0	Sb1	Sb2	Sb3	Sb4	Sb5	
		Student 0	74	56	27	42	84	96	
		Student 1	41	55	32	70	69	58	
		Student 2	33	43	82	71	16	32	
		Student 3	54	49	89	27	17	72	
		Student 4	21	50	51	66	14	53	
		Student 5	93	75	76	16	44	55	
		Student 6	57	77	91	97	11	54	
		Student 7	31	67	21	74	10	66	
		Student 8	79	46	97	71	41	40	
		Student 9	50	77	58	43	53	71	
		Student 10	46	20	29	46	30	63	
		Student 11	90	25	31	80	40	38	
		Student 12	41	92	53	46	73	37	
		Student 13	59	79	43	86	64	56	
		Student 14	42	74	88	99	61	23	
		Student 15	15	87	73	81	28	53	
		Student 16	98	67	14	64	18	10	
		Student 17	15	67	13	52	14	86	
		Student 18	20	62	25	77	78	76	
		Student 19	40	73	94	19	61	15	
		Student 20	45	24	35	44	70	13	
		Student 21	90	96	64	60	60	36	
		Student 22	31	34	39	51	10	58	
		Student 23	69	92	51	81	12	66	
		Student 24	22	79	90	95	26	76	
		Student 25	25	46	68	12	48	37	
		Student 26	96	35	28	71	25	46	
		Student 27	89	83	98	41	86	58	
		Student 28	64	66	90	99	49	57	
		Student 29	74	30	25	10	66	18	
		Student 30	55	40	55	82	18	43	
		Student 31	97	36	98	15	76	41	
		Student 32	24	20	29	98	29	68	
		Student 33	90	89	30	89	48	50	
		Student 34	23	43	25	31	45	68	
		Student 35	11	67	69	60	91	98	
		Student 36	56	77	15	41	68	44	
		Student 37	28	91	56	17	53	22	
		Student 38	90	81	70	30	33	98	
		Student 39	54	65	13	67	13	29	
		Student 40	82	37	92	62	81	72	
		Student 41	77	41	59	88	32	15	
		Student 42	87	82	98	68	47	38	
		Student 43	59	11	95	38	98	41	
		Student 44	84	90	91	77	30	67	
		Student 45	58	12	69	30	11	77	
		Student 46	23	74	69	71	89	23	
		Student 47	39	59	48	25	76	90	
		Student 48	87	61	41	39	41	45	
		Student 49	75	69	98	94	24	10	
	Semester 5
		Student No. Sb0	Sb1	Sb2	Sb3	Sb4	Sb5	
		Student 0	44	41	70	41	53	63	
		Student 1	73	11	13	30	80	24	
		Student 2	35	97	95	66	62	29	
		Student 3	86	39	21	66	16	98	
		Student 4	88	52	72	56	14	18	
		Student 5	58	57	64	89	55	42	
		Student 6	98	66	29	83	46	67	
		Student 7	24	41	35	55	71	70	
		Student 8	72	81	15	73	48	92	
		Student 9	66	56	67	59	25	21	
		Student 10	91	73	93	77	99	70	
		Student 11	74	16	19	23	45	28	
		Student 12	92	25	58	70	66	48	
		Student 13	40	36	19	95	75	93	
		Student 14	56	80	63	37	14	85	
		Student 15	22	31	52	78	35	10	
		Student 16	29	48	29	55	34	38	
		Student 17	51	77	76	26	74	60	
		Student 18	95	95	22	67	41	46	
		Student 19	29	61	38	23	79	68	
		Student 20	48	60	30	32	28	91	
		Student 21	37	20	51	66	74	11	
		Student 22	74	64	53	74	27	56	
		Student 23	11	30	60	62	91	48	
		Student 24	17	61	62	22	98	23	
		Student 25	72	90	42	55	10	24	
		Student 26	95	18	55	49	44	98	
		Student 27	23	10	14	37	80	66	
		Student 28	69	87	26	62	35	34	
		Student 29	83	27	58	53	63	12	
		Student 30	65	92	50	84	71	95	
		Student 31	56	15	64	50	69	41	
		Student 32	53	59	49	47	17	22	
		Student 33	25	32	70	10	30	61	
		Student 34	70	24	99	30	44	76	
		Student 35	74	58	26	93	23	96	
		Student 36	53	90	83	81	36	31	
		Student 37	58	28	65	59	42	91	
		Student 38	45	19	59	95	42	94	
		Student 39	24	15	42	89	43	90	
		Student 40	52	15	61	86	50	42	
		Student 41	52	88	65	52	87	64	
		Student 42	73	40	23	11	37	84	
		Student 43	10	55	34	46	69	81	
		Student 44	38	36	84	39	70	31	
		Student 45	57	36	56	11	68	39	
		Student 46	92	21	52	73	86	66	
		Student 47	74	27	15	77	53	89	
		Student 48	22	41	29	41	90	23	
		Student 49	78	43	41	76	96	93	
	Semester 6
		Student No. Sb0	Sb1	Sb2	Sb3	Sb4	Sb5	
		Student 0	60	30	67	20	19	28	
		Student 1	86	44	24	37	29	71	
		Student 2	76	68	61	41	40	92	
		Student 3	12	32	79	79	87	24	
		Student 4	47	20	91	48	55	18	
		Student 5	98	10	38	73	75	87	
		Student 6	26	30	35	50	21	67	
		Student 7	95	59	75	45	62	97	
		Student 8	31	61	61	88	57	77	
		Student 9	17	13	69	92	30	38	
		Student 10	49	70	41	21	67	40	
		Student 11	82	51	47	77	24	65	
		Student 12	80	33	55	71	93	30	
		Student 13	18	54	83	53	97	32	
		Student 14	62	25	16	82	44	26	
		Student 15	96	47	78	90	37	84	
		Student 16	85	53	48	47	23	83	
		Student 17	28	83	26	58	73	36	
		Student 18	25	80	43	11	31	74	
		Student 19	18	86	20	85	47	72	
		Student 20	37	12	33	37	57	49	
		Student 21	47	84	64	10	38	43	
		Student 22	51	62	66	21	50	57	
		Student 23	65	88	10	50	45	37	
		Student 24	91	92	86	36	27	44	
		Student 25	59	35	59	89	40	93	
		Student 26	10	72	25	55	15	76	
		Student 27	35	15	42	61	46	40	
		Student 28	23	15	71	82	21	19	
		Student 29	95	24	80	18	18	90	
		Student 30	26	72	41	50	85	78	
		Student 31	38	10	28	52	70	85	
		Student 32	62	34	73	87	69	15	
		Student 33	79	14	48	70	26	23	
		Student 34	43	46	59	70	75	86	
		Student 35	49	37	36	53	88	62	
		Student 36	64	22	53	38	80	48	
		Student 37	16	53	27	61	40	39	
		Student 38	62	56	55	51	93	87	
		Student 39	45	42	81	11	32	88	
		Student 40	71	68	39	29	56	29	
		Student 41	70	99	72	59	92	86	
		Student 42	48	15	18	62	48	52	
		Student 43	29	26	18	47	89	36	
		Student 44	43	32	60	34	65	22	
		Student 45	51	19	71	30	52	14	
		Student 46	75	44	94	79	75	11	
		Student 47	91	58	29	83	97	71	
		Student 48	44	70	29	95	11	92	
		Student 49	92	75	90	39	85	63	
	Semester 7
		Student No. Sb0	Sb1	Sb2	Sb3	Sb4	Sb5	
		Student 0	46	81	29	50	77	92	
		Student 1	63	23	20	91	49	93	
		Student 2	84	83	66	43	63	89	
		Student 3	42	69	62	58	90	27	
		Student 4	34	69	54	77	24	45	
		Student 5	70	30	48	85	19	72	
		Student 6	85	45	56	25	20	40	
		Student 7	67	19	57	97	32	94	
		Student 8	64	51	68	21	18	85	
		Student 9	99	61	32	66	52	67	
		Student 10	16	87	12	46	20	34	
		Student 11	28	32	92	47	81	62	
		Student 12	99	87	37	82	37	78	
		Student 13	36	47	97	97	52	68	
		Student 14	46	58	45	28	15	14	
		Student 15	35	76	37	91	60	20	
		Student 16	52	75	75	11	96	56	
		Student 17	46	52	19	53	78	84	
		Student 18	28	72	22	28	10	10	
		Student 19	50	20	71	34	37	13	
		Student 20	47	14	96	13	42	96	
		Student 21	76	87	74	81	73	88	
		Student 22	89	64	50	38	16	71	
		Student 23	94	19	29	39	57	37	
		Student 24	68	14	17	94	67	26	
		Student 25	74	97	51	43	27	56	
		Student 26	22	91	97	59	59	75	
		Student 27	91	64	86	59	18	94	
		Student 28	26	59	39	60	60	67	
		Student 29	83	30	87	62	17	18	
		Student 30	37	36	44	31	36	68	
		Student 31	39	31	66	47	22	52	
		Student 32	92	57	15	91	14	30	
		Student 33	98	14	76	58	49	76	
		Student 34	82	73	24	27	14	73	
		Student 35	57	48	64	29	99	93	
		Student 36	90	27	19	10	65	36	
		Student 37	84	10	86	49	75	61	
		Student 38	69	66	96	73	85	90	
		Student 39	76	38	25	89	70	38	
		Student 40	72	98	28	69	62	24	
		Student 41	83	37	34	99	23	67	
		Student 42	48	41	14	12	71	83	
		Student 43	11	35	28	82	27	33	
		Student 44	18	20	77	10	17	21	
		Student 45	12	56	69	94	33	10	
		Student 46	76	92	40	99	40	26	
		Student 47	77	74	58	74	51	13	
		Student 48	53	72	80	79	56	71	
		Student 49	77	57	63	87	95	94	
